gameIndex,stage,redIndex,blueIndex,redId,outcome,blueId,winner,round,redScore,blueScore,redP,redA,redC,blueP,blueA,blueC,redPokes,bluePokes,redKillByP,redKillByA,redKillByC,blueKillByP,blueKillByA,blueKillByC,redVictimP,redVictimA,redVictimC,blueVictimP,blueVictimA,blueVictimC
1653,stage1_core,189,16,REACHR29_HH_L19,draw,REACHR29_HL_G03,,20,0.0,0.0,0,0,10,6,0,4,7,5,7,1,1,8,1,3,6,1,2,0,1,11
2215,stage1_core,176,22,REACHR29_HH_L06,draw,REACHR29_HL_G09,,20,0.0,0.0,1,0,9,0,0,10,6,6,6,1,2,6,1,4,0,0,9,1,1,9
2262,stage1_core,23,151,REACHR29_HL_G10,draw,REACHR26_HH_G07,,20,0.0,0.0,0,0,10,0,10,0,5,5,6,0,5,5,1,1,0,10,1,0,1,6
2297,stage1_core,168,23,REACHR29_HH_G08,draw,REACHR29_HL_G10,,20,0.0,0.0,0,0,10,0,0,10,6,7,8,0,3,8,2,2,0,1,10,0,1,11
2299,stage1_core,169,23,REACHR29_HH_G09,draw,REACHR29_HL_G10,,20,0.0,0.0,0,8,2,0,0,10,3,7,4,0,7,8,2,0,0,1,10,0,9,1
2450,stage1_core,25,147,REACHR29_HL_L02,elimination,REACHR19_HH_L08,B,3,-0.4473684210526316,1.4473684210526316,0,0,2,0,1,1,0,1,0,0,1,1,2,1,0,0,1,1,1,2
2454,stage1_core,25,149,REACHR29_HL_L02,elimination,REACHR21_HH_L24,B,3,-0.4473684210526316,1.4473684210526316,0,0,2,0,1,1,0,1,0,0,1,1,2,1,0,0,1,1,1,2
2458,stage1_core,25,151,REACHR29_HL_L02,elimination,REACHR26_HH_G07,B,3,-0.4473684210526316,1.4473684210526316,0,0,2,0,1,1,0,1,0,0,1,1,2,1,0,0,1,1,1,2
2462,stage1_core,25,153,REACHR29_HL_L02,elimination,REACHR15_HH_G09,B,3,-0.4473684210526316,1.4473684210526316,0,0,2,0,1,1,0,1,0,0,1,1,2,1,0,0,1,1,1,2
2468,stage1_core,25,156,REACHR29_HL_L02,elimination,REACHR28_HH_L11,B,3,-0.4473684210526316,1.4473684210526316,0,0,2,0,1,1,0,1,0,0,1,1,2,1,0,0,1,1,1,2
2474,stage1_core,25,159,REACHR29_HL_L02,elimination,REACHR28_HH_L04,B,3,-0.4473684210526316,1.4473684210526316,0,0,2,0,1,1,0,1,0,0,1,1,2,1,0,0,1,1,1,2
2480,stage1_core,25,162,REACHR29_HL_L02,elimination,REACHR29_HH_G02,B,3,-0.4473684210526316,1.4473684210526316,0,0,2,0,1,1,0,1,0,0,1,1,2,1,0,0,1,1,1,2
2482,stage1_core,25,163,REACHR29_HL_L02,elimination,REACHR29_HH_G03,B,3,-0.4473684210526316,1.4473684210526316,0,0,2,0,1,1,0,0,0,0,1,1,2,1,0,0,1,1,1,2
2492,stage1_core,25,168,REACHR29_HL_L02,elimination,REACHR29_HH_G08,B,3,-0.4473684210526316,1.4473684210526316,0,0,2,0,0,2,0,1,0,0,1,1,2,1,0,0,1,1,1,2
2504,stage1_core,25,174,REACHR29_HL_L02,elimination,REACHR29_HH_L04,B,3,-0.4473684210526316,1.4473684210526316,0,0,2,0,0,2,0,1,0,0,1,1,2,1,0,0,1,1,1,2
2514,stage1_core,25,179,REACHR29_HL_L02,elimination,REACHR29_HH_L09,B,3,-0.4473684210526316,1.4473684210526316,0,0,2,0,1,1,0,0,0,0,1,1,2,1,0,0,1,1,1,2
2526,stage1_core,25,185,REACHR29_HL_L02,elimination,REACHR29_HH_L15,B,3,-0.4473684210526316,1.4473684210526316,0,0,2,0,1,1,0,0,0,0,1,1,2,1,0,0,1,1,1,2
2532,stage1_core,25,188,REACHR29_HL_L02,elimination,REACHR29_HH_L18,B,3,-0.4473684210526316,1.4473684210526316,0,0,2,0,1,1,0,1,0,0,1,1,2,1,0,0,1,1,1,2
2536,stage1_core,25,190,REACHR29_HL_L02,elimination,REACHR29_HH_L20,B,3,-0.4473684210526316,1.4473684210526316,0,0,2,0,1,1,0,1,0,0,1,1,2,1,0,0,1,1,1,2
2542,stage1_core,25,193,REACHR29_HL_L02,elimination,REACHR29_HH_L23,B,3,-0.4473684210526316,1.4473684210526316,0,0,2,0,1,1,0,0,0,0,1,1,2,1,0,0,1,1,1,2
